id,title,tags
574,"है ग़लत भी, है सही भी ",#galat #sahi #contemplation
573,मन लगा कर शोध करना ,#man #shodh #mehnat
572,"ख़ुशी तो आप की ही है, बताओ किस में ढूंढोगे ",#khushi
571,ये कौन है,#kaun #who #introspect
570,ये सोचने की बात है,#sochne #baat #kya
3,पीजिये ,#madira #daaru #pijiye #khushi
2,For all those who enjoy a drink from the bottom of their hearts ,#drink #khushi
1,On the silence at the time of parting after 83 batch reunion ,#college #roorkee #83 #silence
